Name,Type,Location,Community's Rating,# Ratings,Expert,Expert Score,ABV %,Cost,Cask
4 COPAS TEQUILA BLANCO,TEQUILA BLANCO,"4 COPAS // JALISCO, MEXICO",4.37,44,JACK ROBERTIELLO,98,40.0,2,UNAGED
MEZCAL LOS SIETE MISTERIOS PECHUGA,MEZCAL JOVEN,"LOS SIETE MISTERIOS // OAXACA, MEXICO",4.41,37,OMARI WHEAT,98,58.5,5,NONE
DEL MAGUEY ARROQUEÑO MEZCAL,MEZCAL JOVEN,"DEL MAGUEY // OAXACA, MEXICO",4.5,71,OMARI WHEAT,98,49.0,4,
FUENTESECA RESERVA EXTRA AÑEJO TEQUILA 9 AÑOS,TEQUILA EXTRA AÑEJO,"FUENTESECA // LOS ALTOS, JALISCO, MEXICO",4.11,8,DUNCAN MCROBERTS,98,43.0,5,AMERICAN OAK EX-RED WINE BARRELS (85%) AND USED FRENCH OAK (15%)
MIJENTA TEQUILA AÑEJO GRAN RESERVA,TEQUILA AÑEJO,"MIJENTA // LOS ALTOS, JALISCO, MEXICO",4.25,7,STEPHANIE MORENO,97,40.0,5,"AMERICAN WHITE OAK, FRENCH OAK, FRENCH ACACIA BARRELS, CHERRY OAK CASKS"
CLASE AZUL TEQUILA REPOSADO,TEQUILA REPOSADO,"CLASE AZUL // LOS ALTOS, JALISCO, MEXICO",4.59,836,BROCK SCHULTE,97,40.0,4,
DULCE VIDA EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,"DULCE VIDA // LOS ALTOS, JALISCO, MEXICO",4.31,31,RON BECHTOL,97,50.0,4,EX-RED WINE BARRELS
TEQUILA TAPATIO EXCELENCIA GRAN RESERVA LOT 1,TEQUILA EXTRA AÑEJO,"TEQUILA TAPATIO // LOS ALTOS, JALISCO, MEXICO",4.78,52,AMANDA SCHUSTER,97,40.0,5,"NEW, CHARRED AMERICAN OAK; RESTED IN GLASS"
FORTALEZA AÑEJO TEQUILA,TEQUILA AÑEJO,"TEQUILA FORTALEZA // TEQUILA VALLEY, JALISCO, MEXICO",4.36,120,AMANDA SCHUSTER,97,40.0,4,USED WHISKEY AMERICAN OAK
EL JOLGORIO ARROQUEÑO MEZCAL,MEZCAL JOVEN,"EL JOLGORIO // OAXACA, MEXICO",4.52,17,OMARI WHEAT,97,53.7,5,UNAGED
